timestamp,worker_nombre,worker_ip,cpu_total,ram_total_gb,storage_total_gb,cpu_utilizado_bd,ram_utilizado_bd_gb,storage_utilizado_bd_gb,instancias_running,slices_detalle,cpu_percent_sistema,ram_percent_sistema,disk_percent_sistema,ram_sistema_gb,disk_free_gb,qemu_count
2025-11-29 00:03:19,server3,N/A,4,3.84,9.51,0,0,0,0,,0.0,16.0,45.2,0.61,5.21,0
2025-11-29 00:03:19,worker2,N/A,4,3.84,9.5,0,0,0,0,,0.5,28.0,39.4,1.08,5.76,0
2025-11-29 00:03:19,server2,N/A,4,3.84,9.51,0,0,0,0,,0.2,15.8,40.9,0.61,5.62,0
2025-11-29 00:03:19,worker1,N/A,4,3.84,9.5,0,0,0,0,,0.0,27.7,35.6,1.06,6.12,0
2025-11-29 00:03:19,worker3,N/A,4,3.84,9.5,0,0,0,0,,0.2,28.1,39.4,1.08,5.76,0
2025-11-29 00:03:29,server4,192.168.201.4,4,7.76,9.5,3.0,3.0,3.0,3,"LinuxSSS (VM1), LinuxSSS (VM2), LinuxSSS (VM3)",27.7,8.3,42.4,0.64,5.47,0
2025-11-29 00:03:29,server3,N/A,4,3.84,9.51,0,0,0,0,,0.0,16.0,45.2,0.61,5.21,0
2025-11-29 00:03:29,worker2,N/A,4,3.84,9.5,0,0,0,0,,0.2,28.0,39.4,1.08,5.76,0
2025-11-29 00:03:29,server2,N/A,4,3.84,9.51,0,0,0,0,,0.0,15.8,40.9,0.61,5.62,0
2025-11-29 00:03:29,worker1,N/A,4,3.84,9.5,0,0,0,0,,0.2,27.7,35.6,1.06,6.12,0
2025-11-29 00:03:29,worker3,N/A,4,3.84,9.5,0,0,0,0,,0.0,28.2,39.4,1.08,5.76,0
2025-11-29 00:03:39,server4,192.168.201.4,4,7.76,9.5,3.0,3.0,3.0,3,"LinuxSSS (VM1), LinuxSSS (VM2), LinuxSSS (VM3)",67.8,13.8,42.4,1.07,5.47,3
2025-11-29 00:03:39,server3,N/A,4,3.84,9.51,0,0,0,0,,0.7,16.0,45.2,0.61,5.21,0
2025-11-29 00:03:39,worker2,N/A,4,3.84,9.5,0,0,0,0,,0.5,28.0,39.4,1.08,5.76,0
2025-11-29 00:03:39,server2,N/A,4,3.84,9.51,0,0,0,0,,0.3,15.8,40.9,0.61,5.62,0
2025-11-29 00:03:39,worker1,N/A,4,3.84,9.5,0,0,0,0,,0.0,27.7,35.6,1.06,6.12,0
2025-11-29 00:03:39,worker3,N/A,4,3.84,9.5,0,0,0,0,,0.0,28.2,39.4,1.08,5.76,0
2025-11-29 00:03:49,server4,192.168.201.4,4,7.76,9.49,3.0,3.0,3.0,3,"LinuxSSS (VM1), LinuxSSS (VM2), LinuxSSS (VM3)",1.7,14.5,43.1,1.13,5.4,3
2025-11-29 00:03:49,server3,N/A,4,3.84,9.51,0,0,0,0,,0.2,16.0,45.2,0.61,5.21,0
2025-11-29 00:03:49,worker2,N/A,4,3.84,9.5,0,0,0,0,,0.5,28.0,39.4,1.08,5.76,0
2025-11-29 00:03:49,server2,N/A,4,3.84,9.51,0,0,0,0,,0.5,15.8,40.9,0.61,5.62,0
